2015-01-18T00:05:34: Launching bolt session for c:\users\ahankendi\documents\visual studio 2013\projects\pageguidemvc\.pageguidemvc.boltdata - SessionId: 363e9762-56f1-4560-9ec2-56965250a259
2015-01-18T00:05:36: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T01:07:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T01:07:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T01:07:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:07:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:08:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:08:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:08:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:08:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:09:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:09:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:09:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:09:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:10:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:10:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:10:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T01:10:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-01-18T01:11:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:11:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:11:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:11:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:12:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:12:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:12:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:12:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:13:04: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T01:13:05: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T01:13:06: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T01:13:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:13:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:13:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:13:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:14:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:14:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:14:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:14:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:15:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:15:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:15:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:15:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:16:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:16:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:16:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:16:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:17:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T01:17:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
